State,1990,2000,2005 ,2005 parenthesis,2010,2010 parenthesis,2015,2015 parenthesis,2016,2016 parenthesis,2017,2017 parenthesis,2018,2018 parenthesis,2019,2019 parenthesis,2021,2021 parenthesis
Nevada,"65,600","72,700","68,400",(750),"63,500",(600),"60,000",(680),"62,300",(620),"64,100",(640),"63,300",(740),"67,100",(660),"66,300",(610)
New Hampshire,"76,900","80,700","78,900",(840),"76,000",(870),"80,400",(870),"80,100",(980),"81,100","(1,140)","80,900","(1,020)","82,600","(1,280)","88,500","(1,300)"
New Jersey,"86,600","90,000","85,800",(440),"84,300",(580),"82,600",(420),"85,900",(480),"88,500",(450),"88,200",(450),"90,900",(490),"89,300",(660)
New Mexico,"51,000","55,700","52,100",(630),"52,400",(560),"51,900",(600),"52,800",(570),"51,700",(800),"50,900",(590),"55,000",(620),"54,000",(900)
New York,"69,700","70,800","68,800",(360),"67,400",(280),"69,600",(210),"71,000",(430),"71,700",(340),"73,200",(420),"76,400",(290),"74,300",(370)
North Carolina,"56,400","63,900","56,600",(270),"54,000",(280),"54,700",(360),"57,100",(200),"58,300",(340),"58,100",(380),"60,800",(390),"62,000",(330)
North Dakota ,"49,100","56,400","57,100",(600),"60,600","(1,190)","69,300","(1,150)","68,500","(1,050)","68,400",(710),"68,900","(1,520)","68,400","(1,940)","66,500","(1,110)"
Ohio ,"60,700","66,800","60,500",(290),"56,200",(220),"58,400",(160),"59,100",(190),"59,700",(280),"60,500",(280),"62,100",(360),"62,300",(280)
Oklahoma ,"49,900","54,500","51,500",(480),"52,400",(310),"55,500",(360),"55,500",(430),"55,300",(390),"56,000",(300),"57,700",(390),"55,800",(380)
Oregon,"57,600","66,700","59,700",(490),"58,000",(410),"61,900",(630),"65,000",(590),"66,600",(530),"68,400",(690),"71,100",(560),"71,600",(640)
Pennsylvania,"61,500","65,400","61,900",(330),"61,400",(330),"63,700",(260),"64,200",(250),"65,400",(300),"65,700",(210),"67,300",(280),"69,000",(310)
Rhode Island ,"68,100","68,700","71,600","(1,160)","65,100",(940),"66,400","(1,680)","68,400","(1,090)","70,600","(1,250)","69,400","(1,350)","75,400","(1,000)","74,000","(1,450)"
South Carolina,"55,500","60,500","54,700",(520),"52,300",(320),"54,000",(380),"55,900",(410),"55,900",(360),"56,400",(410),"59,600",(540),"59,300",(520)
South Dakota,"47,600","57,600","56,100",(750),"57,200",(920),"60,600",(760),"61,500",(880),"62,500",(880),"60,700",(950),"63,100","(1,260)","66,100","(1,370)"
Tennessee,"52,500","59,300","54,100",(410),"51,600",(310),"54,100",(340),"54,800",(460),"56,700",(280),"56,500",(320),"59,400",(420),"59,700",(480)
Texas ,"57,200","65,100","58,600",(210),"60,500",(260),"63,600",(220),"63,900",(210),"65,400",(330),"65,400",(180),"67,900",(320),"67,000",(310)
Utah ,"62,300","74,600","66,700",(800),"68,200",(470),"71,900",(850),"74,500",(660),"75,600",(830),"77,100",(490),"80,300",(700),"79,400",(760)
Vermont ,"63,000","66,600","63,500","(1,010)","61,500","(1,120)","65,200",(920),"65,100","(1,150)","63,600","(1,400)","65,600","(1,020)","66,800","(1,130)","72,400","(1,350)"
Virginia ,"70,500","76,100","75,400",(460),"75,600",(350),"75,800",(380),"76,900",(510),"79,100",(370),"78,300",(450),"81,000",(540),"81,000",(440)
Washington,"66,000","74,700","68,500",(540),"69,300",(420),"73,300",(550),"75,800",(410),"78,500",(390),"79,900",(460),"83,400",(590),"84,200",(510)
West Virginia,"44,000","48,400","46,500",(680),"47,600",(680),"48,100",(550),"49,000",(760),"48,000",(940),"47,600",(670),"51,800",(730),"51,200",(660)
Wisconsin ,"62,300","71,400","65,500",(330),"61,000",(380),"63,600",(300),"64,100",(380),"65,500",(390),"65,600",(260),"68,000",(390),"67,100",(370)
Wyoming ,"57,300","61,800","64,300","(1,280)","66,600","(1,430)","68,900","(1,100)","67,600","(1,520)","66,800","(1,180)","66,400",(920),"68,900","(1,360)","65,200","(1,670)"
